Time Frame,Model,Units,LR,Kernel,RMSE,MAE,MAPE (%),R2 Score
Harian,LSTM,64,0.01,-,170.25205769494318,130.90738550919087,1.496886176626607,0.9357595829568335
Harian,LSTM,128,0.001,-,176.42680557631175,134.85390961169426,1.537407192176181,0.9310153041179059
Harian,LSTM,128,0.01,-,180.80901486977368,142.89649966393765,1.6440163554685274,0.9275457654849084
Harian,LSTM,32,0.01,-,203.2944209311954,159.90149285819666,1.8182626130694854,0.9084044165906582
Harian,LSTM,64,0.001,-,209.74529370551917,160.74354356669022,1.8228718224271387,0.9024992262424556
Harian,LSTM,32,0.001,-,226.23488814482718,176.92298872086639,2.0080134653809623,0.8865661242917298
Harian,TCN,128,0.001,2,421.6174497246219,352.5188655699329,4.028033467178014,0.6060321644316762
Harian,TCN,32,0.01,2,424.52118237458706,353.05188735306433,4.045376987934155,0.6005868650214213
Harian,TCN,64,0.001,2,425.21710401974246,356.3077369196429,4.067105560750269,0.5992762680995751
Harian,TCN,64,0.01,2,429.7651632197504,358.06600199757,4.100776554705509,0.5906582613688773
Harian,TCN,128,0.01,2,432.2021103900452,361.31965244895144,4.133645355052389,0.5860028238303062
Harian,TCN,32,0.01,3,443.0514739119847,370.28255009685097,4.2371615478108335,0.5649572015519504
Harian,TCN,64,0.001,3,444.6112840795253,372.62608258103353,4.257329486441073,0.5618885798025353
Harian,TCN,64,0.01,3,446.2896980540127,374.57940317532206,4.277575046398935,0.5585745826033253
Harian,TCN,128,0.001,3,446.7780436585104,368.41177282752386,4.237532682794573,0.5576080081818021
Harian,TCN,32,0.001,2,449.5452220529486,377.3947112769386,4.269816370786204,0.552111011938671
Harian,TCN,128,0.01,3,460.7100182086353,375.6456681524314,4.334068532667942,0.5295874226981048
Harian,TCN,32,0.001,3,480.41856433703947,405.03454063495735,4.580864035379687,0.4884793454399503
Mingguan,LSTM,128,0.01,-,330.2784000157392,268.3785778271619,3.0478437885848986,0.755473702669875
Mingguan,LSTM,64,0.01,-,334.1579732577802,266.5760972888627,3.027771049221268,0.7496953694608212
Mingguan,LSTM,32,0.01,-,370.30102358229067,297.30068470392234,3.3414523474892635,0.6926203918172166
Mingguan,LSTM,128,0.001,-,379.26679503354944,307.66844033494687,3.5335675197359313,0.6775555760750551
Mingguan,LSTM,64,0.001,-,409.6804158731311,337.0002735102697,3.823759381553852,0.6237680833704645
Mingguan,LSTM,32,0.001,-,422.436069501335,348.15359943357436,3.9729161818094765,0.5999749263098337
Mingguan,TCN,128,0.01,2,566.0796774695905,449.14270420081505,5.129442187764052,0.2816760359689312
Mingguan,TCN,64,0.01,2,568.6514593589798,451.0923757144894,5.154809385078514,0.27513431021710255
Mingguan,TCN,32,0.001,2,569.3423816689856,454.4925558149877,5.1598334996123745,0.27337178899236514
Mingguan,TCN,128,0.001,2,579.4333994989377,461.59991510910464,5.245993011817026,0.24738602605095483
Mingguan,TCN,32,0.01,2,579.7077581824722,459.1908631608157,5.248054946688615,0.24667313975774585
Mingguan,TCN,64,0.001,2,592.3112798338642,463.50387749724894,5.373724339366888,0.21356065238194077
Mingguan,TCN,32,0.01,3,594.1794211910656,473.3567665413633,5.357596257055159,0.20859199213004753
Mingguan,TCN,64,0.01,3,601.5053283707451,475.4758036191905,5.422201209098756,0.1889564304244571
Mingguan,TCN,64,0.001,3,605.8947500960528,480.11218383897756,5.443123790608828,0.1770762308549797
Mingguan,TCN,128,0.001,3,611.8679032013384,485.5461823505869,5.502551012791068,0.16077082830109213
Mingguan,TCN,32,0.001,3,618.3001133102136,490.5197262340484,5.546410802167625,0.14303343151321624
Mingguan,TCN,128,0.01,3,642.1134027733476,502.9475532131834,5.746956841282048,0.0757516208693948
Bulanan,LSTM,128,0.01,-,649.4905837688043,564.0099468301186,6.377673582378201,0.10466761788453727
Bulanan,LSTM,32,0.01,-,656.0321707359058,565.6909289655769,6.481674420903811,0.08654144411081521
Bulanan,LSTM,64,0.01,-,664.3581578665201,566.9108428473568,6.379667693996048,0.0632081183755544
Bulanan,LSTM,128,0.001,-,769.344618128163,663.5124247980804,7.6391009627963955,-0.25626255221271843
Bulanan,LSTM,64,0.001,-,775.9997924244758,683.5113261652679,7.746683709193637,-0.2780910220809638
Bulanan,LSTM,32,0.001,-,777.8220194429316,690.6636528042796,7.727787578693245,-0.2841005764590312
Bulanan,TCN,32,0.001,2,872.9115623348218,779.3217301403025,8.662310404950802,-0.6172570988797337
Bulanan,TCN,32,0.001,3,882.758526736624,798.3009005256339,9.013303036159648,-0.6539501522102795
Bulanan,TCN,64,0.001,2,884.273019715379,791.8196993537589,8.865265896822216,-0.6596301758238448
Bulanan,TCN,32,0.01,3,893.4977771517546,803.5558810712779,9.158356306841934,-0.6944373925283034
Bulanan,TCN,32,0.01,2,895.4776784131071,801.4415051805818,9.0499977665784,-0.7019551184525901
Bulanan,TCN,64,0.01,2,899.9180146115432,806.3706361379953,9.232189952777818,-0.7188756735646296
Bulanan,TCN,128,0.01,2,921.6561812548196,816.653618974938,9.083352479608743,-0.8029199907632711
Bulanan,TCN,128,0.001,3,941.04647915927,848.9359269176463,9.509096190570165,-0.879579598081623
Bulanan,TCN,128,0.001,2,941.3852832806432,815.1137561909085,9.47266716181485,-0.8809332484343486
Bulanan,TCN,128,0.01,3,985.4696498458371,879.6315649384796,9.809356845236287,-1.0612234806628646
Bulanan,TCN,64,0.001,3,995.6585937145544,876.2435202525786,10.147634311470567,-1.1040665259702966
Bulanan,TCN,64,0.01,3,999.1830043606752,892.5343193081859,9.9691203144471,-1.1189887478869527
